computed_key	owner_class	function_va	semantic_name	result_type	formula	inputs	rounding_clamp	semantic_status	authoritative_scope	evidence_span_start	evidence_span_end	evidence_span_sha256	whole_family_span	whole_family_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
5518b6d8116bf71eab68b1dfc5d7506563480bf0140caad6007f36bda7d520e5	FightAttr	0x00467A60	strength	i32	pre=u16(ActorAttr+0x82)+u16(ActorAttr+0x182)+s32([0x0103382C]);if_CBuff:pre+=s32(CBuffAttr+0xD4);pre+=trunc(pre*f32(CBuffAttr+0x158)*0.01);return=max(0,pre)	ActorAttr+0x82;ActorAttr+0x182;global@0x0103382C;CBuffAttr+0xD4;CBuffAttr+0x158	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467A60	0x00467AF0	d51d6dae6eaa40348bf3e067027d59b4e16f9eeae36824fa00476b809f237596	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	81fbc71326afa9096d0f665edf2bd4a1c08eddf115a8673252101c9d5c9e6844	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
dc48e33d3bfb4318ef2f86869c98b5a43bb19f21ab80e15614dc56464545943d	FightAttr	0x00467AF0	constitution	i32	pre=u16(ActorAttr+0x84)+u16(ActorAttr+0x184)+s32([0x0103382C]);if_CBuff:pre+=s32(CBuffAttr+0xD8);pre+=trunc(pre*f32(CBuffAttr+0x15C)*0.01);return=max(0,pre)	ActorAttr+0x84;ActorAttr+0x184;global@0x0103382C;CBuffAttr+0xD8;CBuffAttr+0x15C	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467AF0	0x00467B80	b8c6854bdb9f27b6ec039fbbf2b8a44789e2e35b1f7fdbc110acc97c5326d6d7	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	a0bac4da7857b1f55a990a4c322a9b3410cbd069017dee7494dcb6cafa3b1dec	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
89e418ce43c35b59a9a47460a21a68f390062c0d4d0aa49d2f9ec3348e28189b	FightAttr	0x00467B80	agility	i32	pre=u16(ActorAttr+0x86)+u16(ActorAttr+0x186)+s32([0x0103382C]);if_CBuff:pre+=s32(CBuffAttr+0xDC);pre+=trunc(pre*f32(CBuffAttr+0x160)*0.01);return=max(0,pre)	ActorAttr+0x86;ActorAttr+0x186;global@0x0103382C;CBuffAttr+0xDC;CBuffAttr+0x160	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467B80	0x00467C10	9289e8d4412bc29f4aa768cfa772477e79f847ad1c14aceb65afd952797d3cd3	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	6c036d8f415f00ed438740eebedbacdb86d550d03afaa271e570d37ba6b1d0e1	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
40d95288ba24a24157c717a761129508ab6fe83284b7d185dac760236b215882	FightAttr	0x00467C10	perception	i32	pre=u16(ActorAttr+0x8A)+u16(ActorAttr+0x18A)+s32([0x0103382C]);if_CBuff:pre+=s32(CBuffAttr+0xE0);pre+=trunc(pre*f32(CBuffAttr+0x164)*0.01);return=max(0,pre)	ActorAttr+0x8A;ActorAttr+0x18A;global@0x0103382C;CBuffAttr+0xE0;CBuffAttr+0x164	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467C10	0x00467CA0	d940657ecf3023775f9a5a45d7630323f022a71c946956e6cea0ef50f8461038	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	96fc4efc9851ac629ca96d03943c93dd040b904a1595c641af46f27fa069f4af	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
46d6aa13cb1708dd4fb2190155433fd50e635103395c606fe54dc8ca5f813082	FightAttr	0x00467CA0	intellect	i32	pre=u16(ActorAttr+0x88)+u16(ActorAttr+0x188)+s32([0x0103382C]);if_CBuff:pre+=s32(CBuffAttr+0xE4);pre+=trunc(pre*f32(CBuffAttr+0x168)*0.01);return=max(0,pre)	ActorAttr+0x88;ActorAttr+0x188;global@0x0103382C;CBuffAttr+0xE4;CBuffAttr+0x168	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467CA0	0x00467D30	6ed21097b4fb9d8b3b3732c7b89a082c7b473d332eff18d5e1ab4cfe83d6908b	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	3d81bd51d40f63c50b66033047352997c85b016279045b4884c0aa3c85446e4d	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
f4a40aee898e4117fa0876938f96de14455b9d036d63a910a2c5d7b81f551ac1	FightAttr	0x00467D30	max_hp	i32	pre=trunc(constitution*5.0)+(NPC?STANDARD_MOB+0x10:LEVEL_ROW+0x04);if_CBuff:pre+=s32(CBuffAttr+0xC4);pre+=trunc(pre*f32(CBuffAttr+0x154)*0.01);return=max(0,pre)	constitution;ActorAttr+0x5E;STANDARD_MOB+0x10;LEVEL_ROW+0x04;CBuffAttr+0xC4;CBuffAttr+0x154	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467D30	0x00467E00	23f02281ed6b01179af4633f2c417858f838b8bed4bdda6b5ea02abab7fd66a6	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	0cae4c6149e0697e950b88f68baf86e53cdfe98bb273fe229aff33345d7a0fbf	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
fb759cdf8cca9888bdddc76d82467b25f6e21d42dd03cc1e870a4b26eba79a06	FightAttr	0x00467E00	max_stamina	i32	pre=s32([0x01033838])+optional(s32(STANDARD_MOB+0x18))+optional(s32(CBuffAttr+0xCC));return=max(0,pre)	global@0x01033838;STANDARD_MOB+0x18;CBuffAttr+0xCC	clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467E00	0x00467E60	7d9f46e129da0fb3a08372544b61bf0ccc391585f4d3b03b9fe88f75d2c30270	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	5c3ce2b4fa5c85ca252a85dd2e1feb8804f669785dc786fd8577a4c14e96cfbc	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
16c5305f47709d0e25b89bdb61ffc1fa0fe7c295360207e6135e94da934443c5	FightAttr	0x00467E60	run_speed	i32	return=max(0,trunc(f32(ActorAttr+0x54))+optional(s32(CBuffAttr+0xE8)))	ActorAttr+0x54;CBuffAttr+0xE8	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467E60	0x00467E90	cadf722ce70cadd40b64d3f8332bbf9162d62b0dfbb26d9d28fe1dcc3a71dbbe	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	809bd8a1f4a29c48534b4b785bcb07a8c0e58743959d9bd998d1d14ae0d35f5d	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
5a085f25c40c97b9359fd83c6dc418fac19cf7d2fd808e00645807f071e19e75	FightAttr	0x00468ED0	model_scale	f32	return=max(0.0,1.0+optional(f32(CBuffAttr+0x14C),default=0.0))	CBuffAttr+0x14C	clamp_min_0.0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00468ED0	0x00468F20	a45a8a0e1c8b63cfd5b49aca97bb845a883d49bf673ee7e51230f6895d2051fe	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	93bfd1111fa9366514f36e754e4a762cb7f18a62dc6922c473598412d18ddc77	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0dc058837cee75bc0e396577b47ef6476973b6673bbb250b95b97f33b0d0e75e	FightAttr	0x00467E90	dammin_physics	i32	subtotal=strength*1.0+optional(CBuffAttr+0xEC)+optional(STANDARD_MOB+0x20);subtotal+=subtotal*f32(CBuffAttr+0x16C)*0.01;return=max(0,subtotal)	strength;CBuffAttr+0xEC;STANDARD_MOB+0x20;CBuffAttr+0x16C	truncate_toward_zero_then_clamp_min_0	PROVEN_EXACT	CLIENT_COMPUTED_UI_OR_MODEL_VALUE_NOT_SERVER_AUTHORITY	0x00467E90	0x00467F80	23070c90f04357afd0da03d34fe62d0e4534e5418034b14333c20492fe6954af	0x00467A60..0x00468F20	aa6bdcd1f9e96def1c866bd36bb2790423d7447de39b5834d4d67a51484a44e8	3db59d1b075e5ed5e277ddce288adab3c320b2ca7173893473844080e9c3919e	IMAGE		original server-side hit/damage authority requires independent wire/runtime proof	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
