binding_key	subject_class	subject_key	semantic_name	claim_kind	claim	semantic_status	evidence_file	evidence_locator	evidence_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
1fe7d8365f6a94313b9c97eb7c3d69137f1b5554f5dd08ada0505a4d04d86f46	PersonalDataUI	TEXTBOX_ADDRESS	residence_location_text_control	DATA_UI_CONTROL_DEFINITION	original personal-data model defines TEXTBOX_ADDRESS with matching Name/label and MaxTextLength=8; DATA alone does not identify an Attr offset	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/System_Social_Set_Personal_Data.model	UIControlData//UITextBox[@ID='TEXTBOX_ADDRESS'][@MaxTextLength='8'];UILabel[@Name='\u5c45\u4f4f\u5730\u9ede']	5108b60fffdfa220a6a0e82535dac2b99a42e23c352035f96d0cc0ba9b50f96f	265cee7c64949501919280020939e7a306b27dd766d0030e1159a909bd649399	DATA	DATA control vocabulary alone does not prove an ActorAttr field mapping	exact source-separated IMAGE producer/consumer join	N/A
5434ea05d273d91f06a033c1569a74f4ae250affc59a80596040c83eabf3b585	PersonalDataUI	TEXTBOX_AGE	age_text_control	DATA_UI_CONTROL_DEFINITION	original personal-data model defines TEXTBOX_AGE with matching Name/label and MaxTextLength=8; DATA alone does not identify an Attr offset	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/System_Social_Set_Personal_Data.model	UIControlData//UITextBox[@ID='TEXTBOX_AGE'][@MaxTextLength='8'];UILabel[@Name='\u5e74\u9f61']	5108b60fffdfa220a6a0e82535dac2b99a42e23c352035f96d0cc0ba9b50f96f	2a603ed124c4cff5100f468014079ec07c137cdc48677c76161c3c659b345dbf	DATA	DATA control vocabulary alone does not prove an ActorAttr field mapping	exact source-separated IMAGE producer/consumer join	N/A
0544ba7c4ae644d3dde9bef5d46bb2d96ac2871ddc9769abd89e85d3b769a65d	PersonalDataUI	TEXTBOX_CONSTELLATION	constellation_text_control	DATA_UI_CONTROL_DEFINITION	original personal-data model defines TEXTBOX_CONSTELLATION with matching Name/label and MaxTextLength=8; DATA alone does not identify an Attr offset	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/System_Social_Set_Personal_Data.model	UIControlData//UITextBox[@ID='TEXTBOX_CONSTELLATION'][@MaxTextLength='8'];UILabel[@Name='\u661f\u5ea7']	5108b60fffdfa220a6a0e82535dac2b99a42e23c352035f96d0cc0ba9b50f96f	0665b9f7946336bb70ed266e4f31d2fc0277974ffaefc3d2a1cb7f419d75d6d7	DATA	DATA control vocabulary alone does not prove an ActorAttr field mapping	exact source-separated IMAGE producer/consumer join	N/A
30933193dc7db28f336edf0a543e7e9367962da0f20a4965ac048cfb2ed2f5e8	SecondPasswordUI	Login_CharCreate_Panel_SecondPassword	second_password_dialog_controls	DATA_SECOND_PASSWORD_DIALOG_DEFINITION	original character-create second-password model defines two password-mode inputs with MaxTextLength=8 and one confirm button; DATA alone does not identify an Attr field or hash formula	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/Login_CharCreate_Panel_SecondPassword.model	//*[@ID='TEXTBOX_INPUTPASSWORD' or @ID='TEXTBOX_INPUTAGAIN' or @ID='BUTTON_CHECK']	59edf751c1ecf04fef30d43b10645a6fd773af5c5d36ac7f2bf5833d1871b713	fecd1a40b6e78babd7aadd7cf3af97995e8ec9b83a7b7c5348fce2d181a02866	DATA	DATA controls alone do not prove an ActorAttr offset or MD5 construction	exact source-separated IMAGE producer/consumer join	N/A
77896a6331378feb900ee806367c15fcf09c04c679f7b7dda8595b9240e31289	LoginUI	AccountInput	login_account_input_control	DATA_LOGIN_ACCOUNT_CONTROL_DEFINITION	original login model defines AccountInput as a non-password text control with MaxTextLength=30, separate from PasswordInput; DATA alone does not prove hash input use	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/Prototype_Login1.model	//*[@ID='AccountInput' or @ID='PasswordInput']	f16a39c2f4f23220811c06347ed4431e309051543602b46fc3446121d6c43b22	bfb2e02f37536aa1469ae40800cb5513d98a9f2215f6a40029b55548e40b8a16	DATA	DATA controls alone do not prove use as an ActorAttr hash input	exact source-separated IMAGE producer/consumer join	N/A
b79a7fb18c381460699e0af934f952f300487c5a9e8afc1c37bf0843dd9aa0f0	NameBoard	FontStyleID=55	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=ABSENT;OutlineEffectColor=(80, 80, 80, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='55']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	819ed5d3a05ea385615992c01500d1949d3ff41cc827b8d3881d7b637760dbb6	DATA			N/A
43af802b7f58fc7b1f330e98d26da08a8d17a909fb959d975f63e631ec3b2aa7	NameBoard	FontStyleID=56	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=(255, 62, 255, 255);OutlineEffectColor=(136, 2, 5, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='56']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	07de1e36498eb63c27268517c85679f8deba08f39697e368f36a88ede4d40aac	DATA			N/A
29432f5d28962ede6fcfc5187794f1fcce553f84c3682fa9ba37119151b3f6af	NameBoard	FontStyleID=57	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=(83, 255, 83, 255);OutlineEffectColor=(3, 122, 78, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='57']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	89171eb477fafedb322a11fd6cfa1901c9ce0e87cccc2958f463ae10de9989f9	DATA			N/A
f86c5742d906cdf17a8065f44e911cffea7371a6896c9a1dc58c587287ea4e94	NameBoard	FontStyleID=58	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=(140, 198, 255, 255);OutlineEffectColor=(0, 0, 213, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='58']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	f97a67a458bb8aa1a51d537a17e4c48cea10b8c3168dd7517248608e48ec460e	DATA			N/A
5ca21308cccf08e5919e49169e5d0a83099d25e00cb71284584eb750363edc59	NameBoard	FontStyleID=59	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=(0, 255, 255, 255);OutlineEffectColor=(80, 80, 80, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='59']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	06955cb7ad867f0648c3c4f1bd4e2891f630bd10267a2fa8405439de30b0ba41	DATA			N/A
a14a9bc0bfcf3814e19a89dbfc5ee4feaacca36bbc7e69c9bb94150bf35ba96e	NameBoard	FontStyleID=60	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=(255, 255, 0, 255);OutlineEffectColor=(80, 80, 80, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='60']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	1dd36f6c3e50421bf52f5fcf262b4653d22ef4822ad297e58d251c75a287f488	DATA			N/A
786a7dbb2218d043d0c83635f90a441971df864e117ef3dd2b6994d8392c6d1b	NameBoard	FontStyleID=61	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=(255, 100, 100, 255);OutlineEffectColor=(150, 0, 0, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='61']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	e94c176e7bfcd4eba5e609a4698e00d3e07b577c92e1d7631174ba110eb3a164	DATA			N/A
8b9d0962b594ced7f0a966c7aeddc2a689ec9d40bfcecfcb27d070e743e4d4e2	NameBoard	FontStyleID=62	name_fontstyle_definition	DATA_FONTSTYLE_DEFINITION	FontColor=(255, 159, 113, 255);OutlineEffectColor=(91, 30, 0, 255)	PROVEN_EXACT	PF_ROOT://GameClient/Data/GUI/Model/BigFontStyle.fsl	FontStyleList/FontStyle[@ID='62']	77798599c203d36e11282633d4a91ac098b0e1e03aa2482fede6fcfca161fc10	5f0c4a7c5d7ead6142a0a532337b1b71b50fe0d18239e3d61603409d8e77fd1b	DATA			N/A
